Gene	modularity_class	N-cluster	gephi_modularity_class
SEPT8	1	N1	1
ABCD4	1	N1	1
ADA	1	N1	1
AGAP3	1	N1	1
AGFG2	1	N1	1
AHDC1	1	N1	1
AKAP12	1	N1	1
ALDH1B1	1	N1	1
ALDH5A1	1	N1	1
ANXA2	1	N1	1
APOL2	1	N1	1
APOL3	1	N1	1
ARHGAP44	1	N1	1
ARL6IP6	1	N1	1
ARMCX1	1	N1	1
ARMCX2	1	N1	1
ARMCX6	1	N1	1
ARSA	1	N1	1
ARSD	1	N1	1
ATF6B	1	N1	1
BLVRA	1	N1	1
BPHL	1	N1	1
C15orf39	1	N1	1
C2orf76	1	N1	1
C3orf33	1	N1	1
C6orf120	1	N1	1
CBR4	1	N1	1
CCDC134	1	N1	1
CCDC167	1	N1	1
CD63	1	N1	1
CDK4	1	N1	1
CDYL2	1	N1	1
CEACAM1	1	N1	1
CEP128	1	N1	1
CHCHD1	1	N1	1
CHCHD6	1	N1	1
CHDH	1	N1	1
CHST14	1	N1	1
CHST2	1	N1	1
CLMN	1	N1	1
CMIP	1	N1	1
CNPY4	1	N1	1
COA3	1	N1	1
COMTD1	1	N1	1
CPT1A	1	N1	1
CREB3L2	1	N1	1
CRELD1	1	N1	1
CRELD2	1	N1	1
CTBS	1	N1	1
CTSB	1	N1	1
CTSC	1	N1	1
CTTN	1	N1	1
CYP51A1	1	N1	1
DBI	1	N1	1
DBN1	1	N1	1
DERL1	1	N1	1
DES	1	N1	1
DGKE	1	N1	1
DHCR7	1	N1	1
DHRS7B	1	N1	1
DNAJC1	1	N1	1
DNMT3A	1	N1	1
DPYD	1	N1	1
EDEM2	1	N1	1
EHD3	1	N1	1
ELOVL1	1	N1	1
ENDOD1	1	N1	1
ERLIN1	1	N1	1
ERLIN2	1	N1	1
FAM114A1	1	N1	1
FAM120C	1	N1	1
FAM136A	1	N1	1
FAM241A	1	N1	1
FBXL6	1	N1	1
FKBP5	1	N1	1
FLNB	1	N1	1
FMO4	1	N1	1
FOSB	1	N1	1
FSD1L	1	N1	1
FUCA1	1	N1	1
FUT11	1	N1	1
GAA	1	N1	1
GAB1	1	N1	1
GALNS	1	N1	1
GALNT2	1	N1	1
GBP1	1	N1	1
GBP2	1	N1	1
GBP4	1	N1	1
GBP5	1	N1	1
GFPT1	1	N1	1
GGH	1	N1	1
GK	1	N1	1
GLG1	1	N1	1
GLI4	1	N1	1
GM2A	1	N1	1
GNPTAB	1	N1	1
GOLIM4	1	N1	1
GRN	1	N1	1
GSDME	1	N1	1
HERC5	1	N1	1
HEXB	1	N1	1
HIBCH	1	N1	1
HIP1	1	N1	1
HLA.F	1	N1	1
HLA.G	1	N1	1
HMGCS1	1	N1	1
HMGN3	1	N1	1
HSD17B8	1	N1	1
HSP90B1	1	N1	1
IDS	1	N1	1
IGSF3	1	N1	1
INPP1	1	N1	1
IRF1	1	N1	1
ITPA	1	N1	1
IVD	1	N1	1
JOSD2	1	N1	1
KANK1	1	N1	1
KDM5B	1	N1	1
KHDRBS2	1	N1	1
KIF21A	1	N1	1
KRTCAP2	1	N1	1
LETM1	1	N1	1
LGALS3	1	N1	1
