N-.1	N-.2	N-.3	N-.4	N-.5	N-.6	enrichment_term
ABBUD_LIF_SIGNALING_1_DN	0.317102771137706	0	1.19308056451722	0	0	0	ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP	2.08221743344723	0.236599675697216	0	0	0	0	ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN	0	0	0	0	0	0	ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP	0	0	0	0	0	0	ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS	0	0.996971987135579	0.518130789855865	0	0	0.824594974163975	ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	0	0	0	0	0	0	ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR	0.528905597940974	0	0	0.814377019060388	0.494041049161291	1.39256063358914	ABE_INNER_EAR
ABE_VEGFA_TARGETS	0	0	0	0	0	0	ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR	0	0	0.487003379031482	0.493223910572521	0	0	ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN	0	0	0	0	0	0	ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	0.255821386198775	0	0.388330629480072	0	0	0	ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	0	0	0	0	0	0	ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE	0	0.213411476150631	1.37431368999552	1.39748159357793	0	0.919077643995479	ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN	0.545036438754969	0.0109166745105027	0.497481313236095	0.0378882098652443	0.0259430741384828	0.135526626929719	ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP	0	0	0	0	0	0	ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	0.448213266744691	1.2191323874401	0.120733389483843	0.809196529691183	0.275109831941647	0	ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	1.1900135130242	0.487499491090656	0.932429221849672	0	1.09944366018564	0	ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	1.00397112070397	0	0.962076147533407	0.498188395324097	0	0	ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	0	0.194051933131016	0	0	0	0	ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	0.888453838292292	0.0511357354575811	0.0719915769852499	0.197988737223682	0.0782780719014833	0.107918449211599	ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	0	0	0	0	0	0	ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	0.830214523840065	0.454799769101866	0.000754814097366441	0.00630891234475016	0.370612908266775	0.273162322152791	ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	1.35860949368189	0.502072618596583	0.309638905669742	0.0175222189444753	0.0579876337387748	0.237960462231485	ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	0.337531162037337	0.0948877294600369	0.157677103807421	1.22091013905311	0.240965944399382	1.11240207571429	ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	0.926611924335289	1.82010807118359	1.04088040199634	0.0860628717440482	0.21701229953582	0.264862037260994	ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	0.526695651309999	0.0254728321349779	0.974074459040655	0.0773076369578877	0	0	ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	0.374588319703937	0.112055497132362	0	0.629885147983659	1.8698152925418	0	ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN	2.13634093694463	0.700246275740021	7.25389140635729	0.0196563949594256	0	0.38545239777816	AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP	0.699448913238774	0.690739130310821	0.345297348992904	1.21469267348479	0	0	AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS	0	0	0	0	0	0	AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN	0.781940672366342	0.564937661266648	0.226317072750072	0.051328810834287	0.275640202422168	0.38048029614492	AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	0.0259534901538354	0.248259976177734	0.000486493294310496	0.197883384209059	0.158420518744372	0.237960462231485	AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
