	N1	N4	N6	N3	N5	N2	enrichment_term			
GO_ACTIN_CYTOSKELETON	0.009747609	0.895168954	0.584450808	0.641224397	2.117354189	14.84141516	GO_ACTIN_CYTOSKELETON			
chr12q24	0.025830976	0.127941127	0.078602459	5.834283932	0.054315293	13.91720778	chr12q24			
GO_LYMPHOCYTE_ACTIVATION	0.002467186	0.130157884	1.62265167	0.548364854	7.979160529	11.47646628	GO_LYMPHOCYTE_ACTIVATION			
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.004266439	0.023241339	3.459256629	0.097789905	3.007667268	11.16925145	KEGG_CHEMOKINE_SIGNALING_PATHWAY			
GO_LEUKOCYTE_MEDIATED_IMMUNITY	0.52731755	0.33285106	0.307539841	0.220498015	3.12762256	10.10333429	GO_LEUKOCYTE_MEDIATED_IMMUNITY			
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0	0.209968684	1.15912544	0	3.911059345	8.884432593	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY			
REACTOME_SIGNALING_BY_GPCR	0.027426673	0.156690852	5.027835331	0.46293685	1.358042895	8.552517938	REACTOME_SIGNALING_BY_GPCR			
GO_B_CELL_ACTIVATION	0.010136776	0.073204826	0.447715083	0.725187038	4.39807288	8.089326877	GO_B_CELL_ACTIVATION			
REACTOME_SIGNALING_BY_INTERLEUKINS	0.020620721	0.149528816	0.095079814	0.138706918	2.817867804	8.07022032	REACTOME_SIGNALING_BY_INTERLEUKINS			
GO_SECRETORY_VESICLE	1.795621471	0.127176651	0.155323803	0.244991646	0.922204796	6.301234296	GO_SECRETORY_VESICLE			
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	0.006990403	0.162170233	0.680006793	0.079133577	4.049487775	6.097369139	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES			
HASLINGER_B_CLL_WITH_CHROMOSOME_12_TRISOMY	0	0	0	0	0	6.012711479	HASLINGER_B_CLL_WITH_CHROMOSOME_12_TRISOMY			
chr12q12	0.294638847	0	0	0.433265227	0	5.747171725	chr12q12			
HUTTMANN_B_CLL_POOR_SURVIVAL_DN	0	0.150306822	0	0.146463102	13.57439984	4.959588949	HUTTMANN_B_CLL_POOR_SURVIVAL_DN			
GO_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	0.06480501	0	0.955082543	0	0.304136588	4.027475945	GO_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS			
SIG_BCR_SIGNALING_PATHWAY	0	0.788158361	0	0	7.333936335	3.598717378	SIG_BCR_SIGNALING_PATHWAY			
GO_CELL_SURFACE	0.205615751	0.561466342	1.633342718	0.359008765	9.141992562	2.82912775	GO_CELL_SURFACE			
